Taxa	Isolate_Id	strain	date	Location	country	clade
EPI_ISL_1296425|A/Vietnam/Vnhcm-Vp61/2019|2019-06-18	EPI_ISL_1296425	EPI_ISL_1296425|A/Vietnam/Vnhcm-Vp61/2019|2019-06-18	2019-06-18	Asia / Vietnam	Vietnam	6b1.A/183P-5a
EPI_ISL_1296429|A/Bangkok/65/2020|2020-02-20	EPI_ISL_1296429	EPI_ISL_1296429|A/Bangkok/65/2020|2020-02-20	2020-02-20	Asia / Thailand	Thailand	6b1.A/187A
EPI_ISL_1296430|A/Nonthaburi/73/2020|2020-01-10	EPI_ISL_1296430	EPI_ISL_1296430|A/Nonthaburi/73/2020|2020-01-10	2020-01-10	Asia / Thailand	Thailand	6b1.A/156K
EPI_ISL_1296431|A/Ayutthaya/66/2020|2020-03-11	EPI_ISL_1296431	EPI_ISL_1296431|A/Ayutthaya/66/2020|2020-03-11	2020-03-11	Asia / Thailand	Thailand	6b1.A/156K
EPI_ISL_1296433|A/Nonthaburi/76/2020|2020-01-20	EPI_ISL_1296433	EPI_ISL_1296433|A/Nonthaburi/76/2020|2020-01-20	2020-01-20	Asia / Thailand	Thailand	6b1.A/187A
EPI_ISL_1296434|A/Suratthani/69/2020|2020-02-28	EPI_ISL_1296434	EPI_ISL_1296434|A/Suratthani/69/2020|2020-02-28	2020-02-28	Asia / Thailand	Thailand	6b1.A/187A
EPI_ISL_1296435|A/Nonthaburi/77/2020|2020-01-20	EPI_ISL_1296435	EPI_ISL_1296435|A/Nonthaburi/77/2020|2020-01-20	2020-01-20	Asia / Thailand	Thailand	6b1.A/187A
EPI_ISL_1296436|A/Nonthaburi/79/2020|2020-01-21	EPI_ISL_1296436	EPI_ISL_1296436|A/Nonthaburi/79/2020|2020-01-21	2020-01-21	Asia / Thailand	Thailand	6b1.A/156K
EPI_ISL_1296437|A/Chiang_Rai/68/2020|2020-03-02	EPI_ISL_1296437	EPI_ISL_1296437|A/Chiang_Rai/68/2020|2020-03-02	2020-03-02	Asia / Thailand	Thailand	6b1.A/187A
EPI_ISL_1296438|A/Bangkok/71/2020|2020-02-03	EPI_ISL_1296438	EPI_ISL_1296438|A/Bangkok/71/2020|2020-02-03	2020-02-03	Asia / Thailand	Thailand	6b1.A/156K
EPI_ISL_1296439|A/Nonthaburi/80/2020|2020-01-17	EPI_ISL_1296439	EPI_ISL_1296439|A/Nonthaburi/80/2020|2020-01-17	2020-01-17	Asia / Thailand	Thailand	6b1.A/156K
EPI_ISL_1368219|A/Niger/8731/2021|2021-01-13	EPI_ISL_1368219	EPI_ISL_1368219|A/Niger/8731/2021|2021-01-13	2021-01-13	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368237|A/Niger/8318/2020|2020-10-22	EPI_ISL_1368237	EPI_ISL_1368237|A/Niger/8318/2020|2020-10-22	2020-10-22	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368256|A/Niger/7879/2020|2020-03-06	EPI_ISL_1368256	EPI_ISL_1368256|A/Niger/7879/2020|2020-03-06	2020-03-06	Africa / Niger	Niger	6b1.A/183P-5a
EPI_ISL_1368276|A/Niger/8673/2020|2020-12-31	EPI_ISL_1368276	EPI_ISL_1368276|A/Niger/8673/2020|2020-12-31	2020-12-31	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368299|A/Niger/8315/2020|2020-10-22	EPI_ISL_1368299	EPI_ISL_1368299|A/Niger/8315/2020|2020-10-22	2020-10-22	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368318|A/Niger/8699/2021|2021-01-07	EPI_ISL_1368318	EPI_ISL_1368318|A/Niger/8699/2021|2021-01-07	2021-01-07	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368336|A/Niger/8661/2020|2020-12-30	EPI_ISL_1368336	EPI_ISL_1368336|A/Niger/8661/2020|2020-12-30	2020-12-30	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368353|A/Niger/8697/2021|2021-01-05	EPI_ISL_1368353	EPI_ISL_1368353|A/Niger/8697/2021|2021-01-05	2021-01-05	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368369|A/Niger/8309/2020|2020-10-22	EPI_ISL_1368369	EPI_ISL_1368369|A/Niger/8309/2020|2020-10-22	2020-10-22	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368386|A/Niger/8327/2020|2020-10-23	EPI_ISL_1368386	EPI_ISL_1368386|A/Niger/8327/2020|2020-10-23	2020-10-23	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368406|A/Niger/8306/2020|2020-10-22	EPI_ISL_1368406	EPI_ISL_1368406|A/Niger/8306/2020|2020-10-22	2020-10-22	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368423|A/Niger/7880/2020|2020-03-09	EPI_ISL_1368423	EPI_ISL_1368423|A/Niger/7880/2020|2020-03-09	2020-03-09	Africa / Niger	Niger	6b1.A/183P-5a
EPI_ISL_1368441|A/Niger/8247/2020|2020-10-06	EPI_ISL_1368441	EPI_ISL_1368441|A/Niger/8247/2020|2020-10-06	2020-10-06	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368458|A/Niger/8175/2020|2020-09-16	EPI_ISL_1368458	EPI_ISL_1368458|A/Niger/8175/2020|2020-09-16	2020-09-16	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1368476|A/Niger/8677/2021|2021-01-05	EPI_ISL_1368476	EPI_ISL_1368476|A/Niger/8677/2021|2021-01-05	2021-01-05	Africa / Niger	Niger	6b1.A/187A
EPI_ISL_1386243|A/FUKUSHIMA/30/2020|2020-02-21	EPI_ISL_1386243	EPI_ISL_1386243|A/FUKUSHIMA/30/2020|2020-02-21	2020-02-21	Asia / Japan	Japan	6b1.A/156K
EPI_ISL_1386244|A/FUKUSHIMA/32/2020|2020-02-18	EPI_ISL_1386244	EPI_ISL_1386244|A/FUKUSHIMA/32/2020|2020-02-18	2020-02-18	Asia / Japan	Japan	6b1.A/156K
EPI_ISL_1386245|A/FUKUSHIMA/34/2020|2020-03-11	EPI_ISL_1386245	EPI_ISL_1386245|A/FUKUSHIMA/34/2020|2020-03-11	2020-03-11	Asia / Japan	Japan	6b1.A/156K
EPI_ISL_1386246|A/FUKUSHIMA/35/2020|2020-03-11	EPI_ISL_1386246	EPI_ISL_1386246|A/FUKUSHIMA/35/2020|2020-03-11	2020-03-11	Asia / Japan	Japan	6b1.A/156K
EPI_ISL_1386247|A/FUKUSHIMA/37/2020|2020-03-17	EPI_ISL_1386247	EPI_ISL_1386247|A/FUKUSHIMA/37/2020|2020-03-17	2020-03-17	Asia / Japan	Japan	6b1.A/187A
EPI_ISL_1459509|A/Iowa/01/2021|2021-02-24	EPI_ISL_1459509	EPI_ISL_1459509|A/Iowa/01/2021|2021-02-24	2021-02-24	North America / United States / Iowa	United States	6b1.A/187A
EPI_ISL_166026|A/TASMANIA/24/2014|2014-07-04	EPI_ISL_166026	EPI_ISL_166026|A/TASMANIA/24/2014|2014-07-04	2014-07-04	Oceania / Australia / Tasmania / CHIGWELL	Australia	6b
EPI_ISL_169144|A/Florida/62/2014|2014-10-28	EPI_ISL_169144	EPI_ISL_169144|A/Florida/62/2014|2014-10-28	2014-10-28	North America / United States / Florida	United States	6b
EPI_ISL_1835186|A/Belgium/IG0080/2020|2021-01-20	EPI_ISL_1835186	EPI_ISL_1835186|A/Belgium/IG0080/2020|2021-01-20	2021-01-20	Europe / Belgium	Belgium	6b1.A/187A
EPI_ISL_1897642|A/Manitoba/02/2021__H1N1_v|2021-05-04	EPI_ISL_1897642	EPI_ISL_1897642|A/Manitoba/02/2021__H1N1_v|2021-05-04	2021-05-04	North America / Canada / MB	Canada	6b1
EPI_ISL_192116|A/Bangladesh/3002/2015|2015-05-07	EPI_ISL_192116	EPI_ISL_192116|A/Bangladesh/3002/2015|2015-05-07	2015-05-07	Asia / Bangladesh	Bangladesh	6b
EPI_ISL_195816|A/Minnesota/32/2015|2015-07-09	EPI_ISL_195816	EPI_ISL_195816|A/Minnesota/32/2015|2015-07-09	2015-07-09	North America / United States / Minnesota	United States	6b
EPI_ISL_199532|A/Michigan/45/2015|2015-09-07	EPI_ISL_199532	EPI_ISL_199532|A/Michigan/45/2015|2015-09-07	2015-09-07	North America / United States / Michigan	United States	6b1
EPI_ISL_202448|A/Perth/103/2015|2015-08-06	EPI_ISL_202448	EPI_ISL_202448|A/Perth/103/2015|2015-08-06	2015-08-06	Oceania / Australia / Western Australia / Karrakup	Australia	6b
EPI_ISL_202774|A/Iowa/53/2015|2015-11-04	EPI_ISL_202774	EPI_ISL_202774|A/Iowa/53/2015|2015-11-04	2015-11-04	North America / United States / Iowa	United States	6b
EPI_ISL_207902|A/Israel/Q-504/2015|2015-12-15	EPI_ISL_207902	EPI_ISL_207902|A/Israel/Q-504/2015|2015-12-15	2015-12-15	Asia / Israel	Israel	6b
EPI_ISL_209042|A/Brisbane/181/2015|2015-10-06	EPI_ISL_209042	EPI_ISL_209042|A/Brisbane/181/2015|2015-10-06	2015-10-06	Oceania / Australia / Queensland / Gold Coast	Australia	6b1
EPI_ISL_213274|A/Indiana/21/2016|2016-02-04	EPI_ISL_213274	EPI_ISL_213274|A/Indiana/21/2016|2016-02-04	2016-02-04	North America / United States / Indiana	United States	6b
EPI_ISL_215177|A/Singapore/GP1908/2015|2015-11-04	EPI_ISL_215177	EPI_ISL_215177|A/Singapore/GP1908/2015|2015-11-04	2015-11-04	Asia / Singapore	Singapore	6b1
EPI_ISL_227597|A/Fiji/3/2016|2016-05-02	EPI_ISL_227597	EPI_ISL_227597|A/Fiji/3/2016|2016-05-02	2016-05-02	Oceania / Fiji	Fiji	6b1
EPI_ISL_227644|A/Victoria/503/2016|2016-05-18	EPI_ISL_227644	EPI_ISL_227644|A/Victoria/503/2016|2016-05-18	2016-05-18	Oceania / Australia / Victoria / Elsternwick	Australia	6b
EPI_ISL_2295597|A/Belgium/IS0106/2020|2020-01-13	EPI_ISL_2295597	EPI_ISL_2295597|A/Belgium/IS0106/2020|2020-01-13	2020-01-13	Europe / Belgium	Belgium	6b1.A/156K
EPI_ISL_230523|A/Panama/318595/2016|2016-06-03	EPI_ISL_230523	EPI_ISL_230523|A/Panama/318595/2016|2016-06-03	2016-06-03	North America / Panama	Panama	6b1
EPI_ISL_232628|A/Texas/157/2016|2016-03-23	EPI_ISL_232628	EPI_ISL_232628|A/Texas/157/2016|2016-03-23	2016-03-23	North America / United States / Texas	United States	6b1
EPI_ISL_238780|A/Montana/50/2016|2016-10-10	EPI_ISL_238780	EPI_ISL_238780|A/Montana/50/2016|2016-10-10	2016-10-10	North America / United States / Montana	United States	6b1
EPI_ISL_2479995|A/Iowa/02/2021|2021-04-10	EPI_ISL_2479995	EPI_ISL_2479995|A/Iowa/02/2021|2021-04-10	2021-04-10	North America / United States / Iowa	United States	6b1.A/156K
EPI_ISL_2483466|A/India/Pun-NIV306112/2021_Apr|2021-04-27	EPI_ISL_2483466	EPI_ISL_2483466|A/India/Pun-NIV306112/2021_Apr|2021-04-27	2021-04-27	Asia / India / Maharashtra / Pune	India	6b1.A/187A
EPI_ISL_2519774|A/North_Carolina/01/2021|2021-04-12	EPI_ISL_2519774	EPI_ISL_2519774|A/North_Carolina/01/2021|2021-04-12	2021-04-12	North America / United States / North Carolina	United States	6b1.A/187A
EPI_ISL_2625817|A/Togo/0160/2021|2021-02-17	EPI_ISL_2625817	EPI_ISL_2625817|A/Togo/0160/2021|2021-02-17	2021-02-17	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625818|A/Togo/0164/2021|2021-02-19	EPI_ISL_2625818	EPI_ISL_2625818|A/Togo/0164/2021|2021-02-19	2021-02-19	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625819|A/Togo/0404/2021|2021-01-07	EPI_ISL_2625819	EPI_ISL_2625819|A/Togo/0404/2021|2021-01-07	2021-01-07	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625820|A/Togo/0095/2021|2021-01-25	EPI_ISL_2625820	EPI_ISL_2625820|A/Togo/0095/2021|2021-01-25	2021-01-25	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625821|A/Togo/0140/2021|2021-02-07	EPI_ISL_2625821	EPI_ISL_2625821|A/Togo/0140/2021|2021-02-07	2021-02-07	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625822|A/Togo/0155/2021|2021-02-17	EPI_ISL_2625822	EPI_ISL_2625822|A/Togo/0155/2021|2021-02-17	2021-02-17	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625823|A/Togo/0097/2021|2021-01-26	EPI_ISL_2625823	EPI_ISL_2625823|A/Togo/0097/2021|2021-01-26	2021-01-26	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625824|A/Togo/0091/2021|2021-02-12	EPI_ISL_2625824	EPI_ISL_2625824|A/Togo/0091/2021|2021-02-12	2021-02-12	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625825|A/Togo/0135/2021|2021-02-06	EPI_ISL_2625825	EPI_ISL_2625825|A/Togo/0135/2021|2021-02-06	2021-02-06	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625826|A/Togo/0407/2021|2021-01-09	EPI_ISL_2625826	EPI_ISL_2625826|A/Togo/0407/2021|2021-01-09	2021-01-09	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625827|A/Togo/0410/2021|2021-01-21	EPI_ISL_2625827	EPI_ISL_2625827|A/Togo/0410/2021|2021-01-21	2021-01-21	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625828|A/Togo/0125/2021|2021-02-01	EPI_ISL_2625828	EPI_ISL_2625828|A/Togo/0125/2021|2021-02-01	2021-02-01	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625829|A/Togo/0119/2021|2021-01-27	EPI_ISL_2625829	EPI_ISL_2625829|A/Togo/0119/2021|2021-01-27	2021-01-27	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625830|A/Togo/0086/2021|2021-02-10	EPI_ISL_2625830	EPI_ISL_2625830|A/Togo/0086/2021|2021-02-10	2021-02-10	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625831|A/Togo/0092/2021|2021-02-12	EPI_ISL_2625831	EPI_ISL_2625831|A/Togo/0092/2021|2021-02-12	2021-02-12	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625832|A/Togo/0172/2021|2021-02-18	EPI_ISL_2625832	EPI_ISL_2625832|A/Togo/0172/2021|2021-02-18	2021-02-18	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625833|A/Togo/0132/2021|2021-02-05	EPI_ISL_2625833	EPI_ISL_2625833|A/Togo/0132/2021|2021-02-05	2021-02-05	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625834|A/Togo/0168/2021|2021-02-21	EPI_ISL_2625834	EPI_ISL_2625834|A/Togo/0168/2021|2021-02-21	2021-02-21	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625835|A/Togo/0165/2021|2021-02-19	EPI_ISL_2625835	EPI_ISL_2625835|A/Togo/0165/2021|2021-02-19	2021-02-19	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625836|A/Togo/0138/2021|2021-02-07	EPI_ISL_2625836	EPI_ISL_2625836|A/Togo/0138/2021|2021-02-07	2021-02-07	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625837|A/Togo/0074/2021|2021-02-13	EPI_ISL_2625837	EPI_ISL_2625837|A/Togo/0074/2021|2021-02-13	2021-02-13	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625838|A/Togo/0167/2021|2021-02-20	EPI_ISL_2625838	EPI_ISL_2625838|A/Togo/0167/2021|2021-02-20	2021-02-20	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625839|A/Togo/0130/2021|2021-02-04	EPI_ISL_2625839	EPI_ISL_2625839|A/Togo/0130/2021|2021-02-04	2021-02-04	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625840|A/Togo/0190/2021|2021-02-23	EPI_ISL_2625840	EPI_ISL_2625840|A/Togo/0190/2021|2021-02-23	2021-02-23	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625841|A/Togo/0127/2021|2021-02-02	EPI_ISL_2625841	EPI_ISL_2625841|A/Togo/0127/2021|2021-02-02	2021-02-02	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625842|A/Togo/0096/2021|2021-01-25	EPI_ISL_2625842	EPI_ISL_2625842|A/Togo/0096/2021|2021-01-25	2021-01-25	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625843|A/Togo/0093/2021|2021-02-15	EPI_ISL_2625843	EPI_ISL_2625843|A/Togo/0093/2021|2021-02-15	2021-02-15	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625844|A/Togo/0100/2021|2021-01-26	EPI_ISL_2625844	EPI_ISL_2625844|A/Togo/0100/2021|2021-01-26	2021-01-26	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625845|A/Togo/0152/2021|2021-02-16	EPI_ISL_2625845	EPI_ISL_2625845|A/Togo/0152/2021|2021-02-16	2021-02-16	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625846|A/Togo/0112/2021|2021-01-31	EPI_ISL_2625846	EPI_ISL_2625846|A/Togo/0112/2021|2021-01-31	2021-01-31	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625847|A/Togo/0169/2021|2021-02-16	EPI_ISL_2625847	EPI_ISL_2625847|A/Togo/0169/2021|2021-02-16	2021-02-16	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625848|A/Togo/0156/2021|2021-02-17	EPI_ISL_2625848	EPI_ISL_2625848|A/Togo/0156/2021|2021-02-17	2021-02-17	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625849|A/Togo/0175/2021|2021-02-21	EPI_ISL_2625849	EPI_ISL_2625849|A/Togo/0175/2021|2021-02-21	2021-02-21	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625850|A/Togo/0079/2021|2021-02-15	EPI_ISL_2625850	EPI_ISL_2625850|A/Togo/0079/2021|2021-02-15	2021-02-15	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625851|A/Togo/0153/2021|2021-02-16	EPI_ISL_2625851	EPI_ISL_2625851|A/Togo/0153/2021|2021-02-16	2021-02-16	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625852|A/Togo/0362/2021|2021-03-27	EPI_ISL_2625852	EPI_ISL_2625852|A/Togo/0362/2021|2021-03-27	2021-03-27	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625853|A/Togo/0189/2021|2021-02-23	EPI_ISL_2625853	EPI_ISL_2625853|A/Togo/0189/2021|2021-02-23	2021-02-23	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625854|A/Togo/0136/2021|2021-02-07	EPI_ISL_2625854	EPI_ISL_2625854|A/Togo/0136/2021|2021-02-07	2021-02-07	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625855|A/Togo/0417/2021|2021-03-10	EPI_ISL_2625855	EPI_ISL_2625855|A/Togo/0417/2021|2021-03-10	2021-03-10	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625856|A/Togo/0099/2021|2021-01-26	EPI_ISL_2625856	EPI_ISL_2625856|A/Togo/0099/2021|2021-01-26	2021-01-26	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625857|A/Togo/0378/2021|2021-04-02	EPI_ISL_2625857	EPI_ISL_2625857|A/Togo/0378/2021|2021-04-02	2021-04-02	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625858|A/Togo/0071/2021|2021-02-12	EPI_ISL_2625858	EPI_ISL_2625858|A/Togo/0071/2021|2021-02-12	2021-02-12	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625859|A/Togo/0118/2021|2021-01-27	EPI_ISL_2625859	EPI_ISL_2625859|A/Togo/0118/2021|2021-01-27	2021-01-27	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625860|A/Togo/0120/2021|2021-01-27	EPI_ISL_2625860	EPI_ISL_2625860|A/Togo/0120/2021|2021-01-27	2021-01-27	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625861|A/Togo/0176/2021|2021-02-21	EPI_ISL_2625861	EPI_ISL_2625861|A/Togo/0176/2021|2021-02-21	2021-02-21	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625862|A/Togo/0173/2021|2021-02-19	EPI_ISL_2625862	EPI_ISL_2625862|A/Togo/0173/2021|2021-02-19	2021-02-19	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625863|A/Togo/0108/2021|2021-01-29	EPI_ISL_2625863	EPI_ISL_2625863|A/Togo/0108/2021|2021-01-29	2021-01-29	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625864|A/Togo/0163/2021|2021-02-19	EPI_ISL_2625864	EPI_ISL_2625864|A/Togo/0163/2021|2021-02-19	2021-02-19	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625865|A/Togo/0094/2021|2021-02-15	EPI_ISL_2625865	EPI_ISL_2625865|A/Togo/0094/2021|2021-02-15	2021-02-15	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625866|A/Togo/0137/2021|2021-02-07	EPI_ISL_2625866	EPI_ISL_2625866|A/Togo/0137/2021|2021-02-07	2021-02-07	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625867|A/Togo/0403/2021|2021-01-07	EPI_ISL_2625867	EPI_ISL_2625867|A/Togo/0403/2021|2021-01-07	2021-01-07	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625869|A/Togo/0171/2021|2021-02-17	EPI_ISL_2625869	EPI_ISL_2625869|A/Togo/0171/2021|2021-02-17	2021-02-17	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625871|A/Togo/0103/2021|2021-01-27	EPI_ISL_2625871	EPI_ISL_2625871|A/Togo/0103/2021|2021-01-27	2021-01-27	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625873|A/Togo/0146/2021|2021-02-15	EPI_ISL_2625873	EPI_ISL_2625873|A/Togo/0146/2021|2021-02-15	2021-02-15	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625876|A/Togo/0111/2021|2021-01-31	EPI_ISL_2625876	EPI_ISL_2625876|A/Togo/0111/2021|2021-01-31	2021-01-31	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_2625878|A/Togo/0115/2021|2021-01-31	EPI_ISL_2625878	EPI_ISL_2625878|A/Togo/0115/2021|2021-01-31	2021-01-31	Africa / Togo	Togo	6b1.A/187A
EPI_ISL_269259|A/Perth/10/2017|2017-01-24	EPI_ISL_269259	EPI_ISL_269259|A/Perth/10/2017|2017-01-24	2017-01-24	Oceania / Australia / Western Australia / Iluka	Australia	6b1
EPI_ISL_269278|A/Brisbane/37/2017|2017-04-03	EPI_ISL_269278	EPI_ISL_269278|A/Brisbane/37/2017|2017-04-03	2017-04-03	Oceania / Australia / Queensland / Brisbane	Australia	6b1.A
EPI_ISL_269954|A/Arizona/33/2017|2017-05-07	EPI_ISL_269954	EPI_ISL_269954|A/Arizona/33/2017|2017-05-07	2017-05-07	North America / United States / Arizona	United States	6b1
EPI_ISL_275688|A/Michigan/272/2017|2017-07-18	EPI_ISL_275688	EPI_ISL_275688|A/Michigan/272/2017|2017-07-18	2017-07-18	North America / United States / Michigan	United States	6b1.A
EPI_ISL_277879|A/New_Mexico/19/2017|2017-08-11	EPI_ISL_277879	EPI_ISL_277879|A/New_Mexico/19/2017|2017-08-11	2017-08-11	North America / United States / New Mexico	United States	6b1.A
EPI_ISL_282191|A/Oman/3192/2017|2017-06-10	EPI_ISL_282191	EPI_ISL_282191|A/Oman/3192/2017|2017-06-10	2017-06-10	Asia / Oman	Oman	6b1.A
EPI_ISL_282207|A/TOKYO/EH1608/2017|2017-08-16	EPI_ISL_282207	EPI_ISL_282207|A/TOKYO/EH1608/2017|2017-08-16	2017-08-16	Asia / Japan	Japan	6b1.A
EPI_ISL_284660|A/Paris/1447/2017|2017-10-20	EPI_ISL_284660	EPI_ISL_284660|A/Paris/1447/2017|2017-10-20	2017-10-20	Europe / France / Ile de France	France	6b1.A
EPI_ISL_285760|A/Ontario/RV2293/2017|2017-09-08	EPI_ISL_285760	EPI_ISL_285760|A/Ontario/RV2293/2017|2017-09-08	2017-09-08	North America / Canada	Canada	6b1.A
EPI_ISL_286835|A/England/62/2017|2017-08-11	EPI_ISL_286835	EPI_ISL_286835|A/England/62/2017|2017-08-11	2017-08-11	Europe / United Kingdom / BRIGHTON	United Kingdom	6b1.A
