Taxa	Isolate_Id	strain	date	Location	country	clade
EPI_ISL_1064143|A/Vietnam/Vnhcm-Vp236/2020|2020	EPI_ISL_1064143	EPI_ISL_1064143|A/Vietnam/Vnhcm-Vp236/2020|2020	2020	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064144|A/Vietnam/Vnhcm-Gs520/2020|2020-10-22	EPI_ISL_1064144	EPI_ISL_1064144|A/Vietnam/Vnhcm-Gs520/2020|2020-10-22	2020-10-22	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064145|A/Vietnam/Vnhcm-Vp260/2020|2020	EPI_ISL_1064145	EPI_ISL_1064145|A/Vietnam/Vnhcm-Vp260/2020|2020	2020	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064146|A/Vietnam/Vnhcm-Vp234/2020|2020	EPI_ISL_1064146	EPI_ISL_1064146|A/Vietnam/Vnhcm-Vp234/2020|2020	2020	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1103566|A/Cambodia/e0826360/2020___(20/310)|2020-07-16	EPI_ISL_1103566	EPI_ISL_1103566|A/Cambodia/e0826360/2020___(20/310)|2020-07-16	2020-07-16	Oceania / Australia	Australia	A1b/94N
EPI_ISL_1242033|A/India/Pun-NIV250229/2020_Oct|2020-10-27	EPI_ISL_1242033	EPI_ISL_1242033|A/India/Pun-NIV250229/2020_Oct|2020-10-27	2020-10-27	Asia / India / Maharashtra / Pune	India	A1b/94N
EPI_ISL_1242039|A/India/Pun-NIV269316/2020_Nov|2020-11-27	EPI_ISL_1242039	EPI_ISL_1242039|A/India/Pun-NIV269316/2020_Nov|2020-11-27	2020-11-27	Asia / India / Maharashtra / Pune	India	A1b/94N
EPI_ISL_1246959|A/India/Pun-NIV289524/2021_Jan|2021-01-07	EPI_ISL_1246959	EPI_ISL_1246959|A/India/Pun-NIV289524/2021_Jan|2021-01-07	2021-01-07	Asia / India / Maharashtra / Pune	India	A1b/94N
EPI_ISL_1246963|A/India/Pun-NIV290244/2021_Jan|2021-01-12	EPI_ISL_1246963	EPI_ISL_1246963|A/India/Pun-NIV290244/2021_Jan|2021-01-12	2021-01-12	Asia / India / Maharashtra / Pune	India	A1b/94N
EPI_ISL_1292812|A/Darwin/3/2021|2021-03-02	EPI_ISL_1292812	EPI_ISL_1292812|A/Darwin/3/2021|2021-03-02	2021-03-02	Oceania / Australia / Northern Territory / Darwin	Australia	A1b/94N
EPI_ISL_1292813|A/Darwin/1/2021|2021-02-27	EPI_ISL_1292813	EPI_ISL_1292813|A/Darwin/1/2021|2021-02-27	2021-02-27	Oceania / Australia / Northern Territory / Darwin	Australia	A1b/94N
EPI_ISL_1292814|A/Darwin/2/2021|2021-02-27	EPI_ISL_1292814	EPI_ISL_1292814|A/Darwin/2/2021|2021-02-27	2021-02-27	Oceania / Australia / Northern Territory / Darwin	Australia	A1b/94N
EPI_ISL_1296297|A/Nigeria/4970/2020|2020-11-10	EPI_ISL_1296297	EPI_ISL_1296297|A/Nigeria/4970/2020|2020-11-10	2020-11-10	Africa / Nigeria	Nigeria	A1b/186D
EPI_ISL_1296298|A/Nigeria/4976/2020|2020-11-11	EPI_ISL_1296298	EPI_ISL_1296298|A/Nigeria/4976/2020|2020-11-11	2020-11-11	Africa / Nigeria	Nigeria	A1b/186D
EPI_ISL_1296301|A/Nigeria/5059/2020|2020-11-30	EPI_ISL_1296301	EPI_ISL_1296301|A/Nigeria/5059/2020|2020-11-30	2020-11-30	Africa / Nigeria	Nigeria	A1b/186D
EPI_ISL_1296304|A/Nigeria/4995/2020|2020-11-17	EPI_ISL_1296304	EPI_ISL_1296304|A/Nigeria/4995/2020|2020-11-17	2020-11-17	Africa / Nigeria	Nigeria	A1b/186D
EPI_ISL_1296305|A/Nigeria/4959/2020|2020-11-05	EPI_ISL_1296305	EPI_ISL_1296305|A/Nigeria/4959/2020|2020-11-05	2020-11-05	Africa / Nigeria	Nigeria	A1b/186D
EPI_ISL_1296307|A/Vietnam/Vnhcm-Vp98/2019|2019-07-21	EPI_ISL_1296307	EPI_ISL_1296307|A/Vietnam/Vnhcm-Vp98/2019|2019-07-21	2019-07-21	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1296308|A/Congo/559/2020|2020-12-15	EPI_ISL_1296308	EPI_ISL_1296308|A/Congo/559/2020|2020-12-15	2020-12-15	Africa / Congo, the Democatic Republic of	Congo, the Democatic Republic of	A1b/186D
EPI_ISL_1296309|A/Congo/19/2021|2021-01-12	EPI_ISL_1296309	EPI_ISL_1296309|A/Congo/19/2021|2021-01-12	2021-01-12	Africa / Congo, the Democatic Republic of	Congo, the Democatic Republic of	A1b/186D
EPI_ISL_1296310|A/Congo/560/2020|2020-12-15	EPI_ISL_1296310	EPI_ISL_1296310|A/Congo/560/2020|2020-12-15	2020-12-15	Africa / Congo, the Democatic Republic of	Congo, the Democatic Republic of	A1b/186D
EPI_ISL_1296311|A/Congo/23/2021|2021-01-06	EPI_ISL_1296311	EPI_ISL_1296311|A/Congo/23/2021|2021-01-06	2021-01-06	Africa / Congo, the Democatic Republic of	Congo, the Democatic Republic of	A1b/186D
EPI_ISL_1296312|A/Congo/543/2020|2020-11-12	EPI_ISL_1296312	EPI_ISL_1296312|A/Congo/543/2020|2020-11-12	2020-11-12	Africa / Congo, the Democatic Republic of	Congo, the Democatic Republic of	A1b/186D
EPI_ISL_1296314|A/Congo/07/2021|2021-01-04	EPI_ISL_1296314	EPI_ISL_1296314|A/Congo/07/2021|2021-01-04	2021-01-04	Africa / Congo, the Democatic Republic of	Congo, the Democatic Republic of	A1b/186D
EPI_ISL_1296315|A/Congo/15/2021|2021-01-05	EPI_ISL_1296315	EPI_ISL_1296315|A/Congo/15/2021|2021-01-05	2021-01-05	Africa / Congo, the Democatic Republic of	Congo, the Democatic Republic of	A1b/186D
EPI_ISL_1296317|A/Congo/44/2021|2021-01-12	EPI_ISL_1296317	EPI_ISL_1296317|A/Congo/44/2021|2021-01-12	2021-01-12	Africa / Congo, the Democatic Republic of	Congo, the Democatic Republic of	A1b/186D
EPI_ISL_1296320|A/Cambodia/996/2020|2020-09-21	EPI_ISL_1296320	EPI_ISL_1296320|A/Cambodia/996/2020|2020-09-21	2020-09-21	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296322|A/Cambodia/1040/2020|2020-09-29	EPI_ISL_1296322	EPI_ISL_1296322|A/Cambodia/1040/2020|2020-09-29	2020-09-29	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296323|A/Ayutthaya/60/2020|2020-11-10	EPI_ISL_1296323	EPI_ISL_1296323|A/Ayutthaya/60/2020|2020-11-10	2020-11-10	Asia / Thailand	Thailand	A1b/94N
EPI_ISL_1296324|A/Cambodia/1044/2020|2020-09-29	EPI_ISL_1296324	EPI_ISL_1296324|A/Cambodia/1044/2020|2020-09-29	2020-09-29	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296325|A/Cambodia/719/2020|2020-08-18	EPI_ISL_1296325	EPI_ISL_1296325|A/Cambodia/719/2020|2020-08-18	2020-08-18	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296327|A/Ayutthaya/61/2020|2020-11-10	EPI_ISL_1296327	EPI_ISL_1296327|A/Ayutthaya/61/2020|2020-11-10	2020-11-10	Asia / Thailand	Thailand	A1b/94N
EPI_ISL_1296328|A/Bangkok/59/2020|2020-11-11	EPI_ISL_1296328	EPI_ISL_1296328|A/Bangkok/59/2020|2020-11-11	2020-11-11	Asia / Thailand	Thailand	A1b/94N
EPI_ISL_1296329|A/Cambodia/998/2020|2020-09-21	EPI_ISL_1296329	EPI_ISL_1296329|A/Cambodia/998/2020|2020-09-21	2020-09-21	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296330|A/Cambodia/709/2020|2020-08-18	EPI_ISL_1296330	EPI_ISL_1296330|A/Cambodia/709/2020|2020-08-18	2020-08-18	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296331|A/Cambodia/731/2020|2020-08-18	EPI_ISL_1296331	EPI_ISL_1296331|A/Cambodia/731/2020|2020-08-18	2020-08-18	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296332|A/Cambodia/780/2020|2020-08-31	EPI_ISL_1296332	EPI_ISL_1296332|A/Cambodia/780/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296333|A/Cambodia/796/2020|2020-08-31	EPI_ISL_1296333	EPI_ISL_1296333|A/Cambodia/796/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296334|A/Cambodia/727/2020|2020-08-18	EPI_ISL_1296334	EPI_ISL_1296334|A/Cambodia/727/2020|2020-08-18	2020-08-18	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296335|A/Cambodia/984/2020|2020-09-15	EPI_ISL_1296335	EPI_ISL_1296335|A/Cambodia/984/2020|2020-09-15	2020-09-15	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296336|A/Cambodia/713/2020|2020-08-18	EPI_ISL_1296336	EPI_ISL_1296336|A/Cambodia/713/2020|2020-08-18	2020-08-18	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296338|A/Cambodia/801/2020|2020-08-31	EPI_ISL_1296338	EPI_ISL_1296338|A/Cambodia/801/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296339|A/Cambodia/805/2020|2020-08-31	EPI_ISL_1296339	EPI_ISL_1296339|A/Cambodia/805/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296340|A/Bangkok/58/2020|2020-11-10	EPI_ISL_1296340	EPI_ISL_1296340|A/Bangkok/58/2020|2020-11-10	2020-11-10	Asia / Thailand	Thailand	A1b/94N
EPI_ISL_1296342|A/Ayutthaya/56/2020|2020-11-09	EPI_ISL_1296342	EPI_ISL_1296342|A/Ayutthaya/56/2020|2020-11-09	2020-11-09	Asia / Thailand	Thailand	A1b/94N
EPI_ISL_1296343|A/Bangkok/62/2020|2020-11-11	EPI_ISL_1296343	EPI_ISL_1296343|A/Bangkok/62/2020|2020-11-11	2020-11-11	Asia / Thailand	Thailand	A1b/94N
EPI_ISL_1296344|A/Bangkok/72/2020|2020-03-09	EPI_ISL_1296344	EPI_ISL_1296344|A/Bangkok/72/2020|2020-03-09	2020-03-09	Asia / Thailand	Thailand	A1b/137F
EPI_ISL_1296362|A/Cambodia/981/2020|2020-09-15	EPI_ISL_1296362	EPI_ISL_1296362|A/Cambodia/981/2020|2020-09-15	2020-09-15	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1296363|A/Bangkok/57/2020|2020-11-10	EPI_ISL_1296363	EPI_ISL_1296363|A/Bangkok/57/2020|2020-11-10	2020-11-10	Asia / Thailand	Thailand	A1b/94N
EPI_ISL_1367567|A/Niger/8749/2021|2021-01-14	EPI_ISL_1367567	EPI_ISL_1367567|A/Niger/8749/2021|2021-01-14	2021-01-14	Africa / Niger	Niger	A1b/186D
EPI_ISL_1367584|A/Niger/8776/2021|2021-01-20	EPI_ISL_1367584	EPI_ISL_1367584|A/Niger/8776/2021|2021-01-20	2021-01-20	Africa / Niger	Niger	A1b/186D
EPI_ISL_1367587|A/Niger/8635/2020|2020-12-28	EPI_ISL_1367587	EPI_ISL_1367587|A/Niger/8635/2020|2020-12-28	2020-12-28	Africa / Niger	Niger	A1b/186D
EPI_ISL_1367589|A/Niger/8590/2020|2020-12-10	EPI_ISL_1367589	EPI_ISL_1367589|A/Niger/8590/2020|2020-12-10	2020-12-10	Africa / Niger	Niger	A1b/186D
EPI_ISL_1367590|A/Niger/8773/2021|2021-01-19	EPI_ISL_1367590	EPI_ISL_1367590|A/Niger/8773/2021|2021-01-19	2021-01-19	Africa / Niger	Niger	A1b/186D
EPI_ISL_1367591|A/Niger/8609/2020|2020-12-22	EPI_ISL_1367591	EPI_ISL_1367591|A/Niger/8609/2020|2020-12-22	2020-12-22	Africa / Niger	Niger	A1b/186D
EPI_ISL_1367593|A/Niger/8581/2020|2020-12-10	EPI_ISL_1367593	EPI_ISL_1367593|A/Niger/8581/2020|2020-12-10	2020-12-10	Africa / Niger	Niger	A1b/186D
EPI_ISL_1386127|A/Cambodia/e0826360/2020__IVR-224___(20/320)|2020-07-16	EPI_ISL_1386127	EPI_ISL_1386127|A/Cambodia/e0826360/2020__IVR-224___(20/320)|2020-07-16	2020-07-16	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1386235|A/YAMAGATA/1/2021|2021-02-09	EPI_ISL_1386235	EPI_ISL_1386235|A/YAMAGATA/1/2021|2021-02-09	2021-02-09	Asia / Japan	Japan	A1b/94N
EPI_ISL_1386236|A/YAMAGATA/2/2021|2021-02-09	EPI_ISL_1386236	EPI_ISL_1386236|A/YAMAGATA/2/2021|2021-02-09	2021-02-09	Asia / Japan	Japan	A1b/94N
EPI_ISL_1455649|A/Cambodia/793/2020|2020-08-31	EPI_ISL_1455649	EPI_ISL_1455649|A/Cambodia/793/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455650|A/Cambodia/1167/2020|2020-10-08	EPI_ISL_1455650	EPI_ISL_1455650|A/Cambodia/1167/2020|2020-10-08	2020-10-08	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455651|A/Cambodia/1189/2020|2020-10-08	EPI_ISL_1455651	EPI_ISL_1455651|A/Cambodia/1189/2020|2020-10-08	2020-10-08	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455652|A/Cambodia/1180/2020|2020-10-08	EPI_ISL_1455652	EPI_ISL_1455652|A/Cambodia/1180/2020|2020-10-08	2020-10-08	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455653|A/Cambodia/1176/2020|2020-10-08	EPI_ISL_1455653	EPI_ISL_1455653|A/Cambodia/1176/2020|2020-10-08	2020-10-08	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455654|A/Cambodia/1171/2020|2020-10-08	EPI_ISL_1455654	EPI_ISL_1455654|A/Cambodia/1171/2020|2020-10-08	2020-10-08	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455655|A/Cambodia/3651/2020|2020-08-31	EPI_ISL_1455655	EPI_ISL_1455655|A/Cambodia/3651/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455656|A/Cambodia/3645/2020|2020-08-31	EPI_ISL_1455656	EPI_ISL_1455656|A/Cambodia/3645/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455657|A/Cambodia/3641/2020|2020-08-31	EPI_ISL_1455657	EPI_ISL_1455657|A/Cambodia/3641/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1455658|A/Cambodia/3648/2020|2020-08-31	EPI_ISL_1455658	EPI_ISL_1455658|A/Cambodia/3648/2020|2020-08-31	2020-08-31	Asia / Cambodia	Cambodia	A1b/94N
EPI_ISL_1519296|A/Cameroon/1292/2020|2020-02-12	EPI_ISL_1519296	EPI_ISL_1519296|A/Cameroon/1292/2020|2020-02-12	2020-02-12	Africa / Cameroon	Cameroon	A1b/135K
EPI_ISL_1519328|A/Cameroon/16950/2020|2020-10-28	EPI_ISL_1519328	EPI_ISL_1519328|A/Cameroon/16950/2020|2020-10-28	2020-10-28	Africa / Cameroon	Cameroon	A1b/186D
EPI_ISL_1519345|A/Cameroon/16967/2020|2020-11-07	EPI_ISL_1519345	EPI_ISL_1519345|A/Cameroon/16967/2020|2020-11-07	2020-11-07	Africa / Cameroon	Cameroon	A1b/186D
EPI_ISL_1519352|A/Cameroon/16984/2020|2020-11-25	EPI_ISL_1519352	EPI_ISL_1519352|A/Cameroon/16984/2020|2020-11-25	2020-11-25	Africa / Cameroon	Cameroon	A1b/186D
EPI_ISL_1519353|A/Cameroon/16995/2020|2020-12-15	EPI_ISL_1519353	EPI_ISL_1519353|A/Cameroon/16995/2020|2020-12-15	2020-12-15	Africa / Cameroon	Cameroon	A1b/186D
EPI_ISL_1519354|A/Cameroon/16996/2020|2020-12-15	EPI_ISL_1519354	EPI_ISL_1519354|A/Cameroon/16996/2020|2020-12-15	2020-12-15	Africa / Cameroon	Cameroon	A1b/186D
EPI_ISL_1563628|A/Darwin/6/2021|2021-03-16	EPI_ISL_1563628	EPI_ISL_1563628|A/Darwin/6/2021|2021-03-16	2021-03-16	Oceania / Australia / Northern Territory / Darwin	Australia	A1b/94N
EPI_ISL_1563629|A/Darwin/7/2021|2021-03-21	EPI_ISL_1563629	EPI_ISL_1563629|A/Darwin/7/2021|2021-03-21	2021-03-21	Oceania / Australia / Northern Territory / Howard Springs	Australia	A1b/94N
EPI_ISL_1563630|A/Darwin/6a/2021|2021-03-23	EPI_ISL_1563630	EPI_ISL_1563630|A/Darwin/6a/2021|2021-03-23	2021-03-23	Oceania / Australia / Northern Territory / Howard Springs	Australia	A1b/94N
EPI_ISL_165592|A/SOUTH_AUSTRALIA/55/2014|2014-06-14	EPI_ISL_165592	EPI_ISL_165592|A/SOUTH_AUSTRALIA/55/2014|2014-06-14	2014-06-14	Oceania / Australia / South Australia / Elizabeth	Australia	3c3.A
EPI_ISL_166994|A/Michigan/15/2014|2014-09-24	EPI_ISL_166994	EPI_ISL_166994|A/Michigan/15/2014|2014-09-24	2014-09-24	North America / United States / Michigan	United States	3c2.A
EPI_ISL_168126|A/Hawaii/47/2014|2014-07-18	EPI_ISL_168126	EPI_ISL_168126|A/Hawaii/47/2014|2014-07-18	2014-07-18	North America / United States / Hawaii	United States	3c2.A
EPI_ISL_168972|A/Hong_Kong/7127/2014|2014-07-29	EPI_ISL_168972	EPI_ISL_168972|A/Hong_Kong/7127/2014|2014-07-29	2014-07-29	Asia / Hong Kong (SAR)	Hong Kong (SAR)	3c2.A
EPI_ISL_169307|A/New_Jersey/26/2014|2014-11-17	EPI_ISL_169307	EPI_ISL_169307|A/New_Jersey/26/2014|2014-11-17	2014-11-17	North America / United States / New Jersey	United States	3c2.A
EPI_ISL_170086|A/SAITAMA/103/2014|2014-11-17	EPI_ISL_170086	EPI_ISL_170086|A/SAITAMA/103/2014|2014-11-17	2014-11-17	Asia / Japan	Japan	3c2.A
EPI_ISL_1718306|A/India/Pun-NIV293212/2021_Feb|2021-02-09	EPI_ISL_1718306	EPI_ISL_1718306|A/India/Pun-NIV293212/2021_Feb|2021-02-09	2021-02-09	Asia / India / Maharashtra / Pune	India	A1b/94N
EPI_ISL_1718307|A/India/Pun-NIV295197/2021_Mar|2021-03-03	EPI_ISL_1718307	EPI_ISL_1718307|A/India/Pun-NIV295197/2021_Mar|2021-03-03	2021-03-03	Asia / India / Maharashtra / Pune	India	A1b/94N
EPI_ISL_1718310|A/India/Pun-NIV295198/2021_Mar|2021-03-03	EPI_ISL_1718310	EPI_ISL_1718310|A/India/Pun-NIV295198/2021_Mar|2021-03-03	2021-03-03	Asia / India / Maharashtra / Pune	India	A1b/94N
EPI_ISL_1732519|A/Mali/20048/2020|2020-02-26	EPI_ISL_1732519	EPI_ISL_1732519|A/Mali/20048/2020|2020-02-26	2020-02-26	Africa / Mali	Mali	A1b/186D
EPI_ISL_1732521|A/Laos/1740/2020|2020-09-14	EPI_ISL_1732521	EPI_ISL_1732521|A/Laos/1740/2020|2020-09-14	2020-09-14	Asia / Lao, People's Democratic Republic	Lao, People_s Democratic Republic	A1b/94N
EPI_ISL_1732522|A/Pennsylvania/01/2021|2021-03-19	EPI_ISL_1732522	EPI_ISL_1732522|A/Pennsylvania/01/2021|2021-03-19	2021-03-19	North America / United States / Pennsylvania	United States	A1b/94N
EPI_ISL_1760813|A/Stockholm/3/2021|2021-02-19	EPI_ISL_1760813	EPI_ISL_1760813|A/Stockholm/3/2021|2021-02-19	2021-02-19	Europe / Sweden / Stockholms lan	Sweden	A1b/94N
EPI_ISL_1760817|A/Stockholm/4/2021|2021-03-11	EPI_ISL_1760817	EPI_ISL_1760817|A/Stockholm/4/2021|2021-03-11	2021-03-11	Europe / Sweden / Stockholms lan	Sweden	A1b/94N
EPI_ISL_176732|A/Wisconsin/20/2015|2015-02-24	EPI_ISL_176732	EPI_ISL_176732|A/Wisconsin/20/2015|2015-02-24	2015-02-24	North America / United States / Wisconsin	United States	3c2.A
EPI_ISL_1913253|A/Netherlands/10000/2021|2021-02-21	EPI_ISL_1913253	EPI_ISL_1913253|A/Netherlands/10000/2021|2021-02-21	2021-02-21	Europe / Netherlands	Netherlands	A1b/94N
EPI_ISL_191709|A/Wisconsin/66/2015|2015-04-21	EPI_ISL_191709	EPI_ISL_191709|A/Wisconsin/66/2015|2015-04-21	2015-04-21	North America / United States / Wisconsin	United States	3c2.A
EPI_ISL_192696|A/Peru/27/2015|2015-04-13	EPI_ISL_192696	EPI_ISL_192696|A/Peru/27/2015|2015-04-13	2015-04-13	South America / Peru	Peru	3c3.A
EPI_ISL_193166|A/Fiji/2/2015|2015-03-03	EPI_ISL_193166	EPI_ISL_193166|A/Fiji/2/2015|2015-03-03	2015-03-03	Oceania / Australia	Australia	3c2.A
EPI_ISL_200769|A/Montana/28/2015|2015-09-24	EPI_ISL_200769	EPI_ISL_200769|A/Montana/28/2015|2015-09-24	2015-09-24	North America / United States / Montana	United States	3c2.A
EPI_ISL_202884|A/Alaska/232/2015|2015-09-09	EPI_ISL_202884	EPI_ISL_202884|A/Alaska/232/2015|2015-09-09	2015-09-09	North America / United States / Alaska	United States	A1
EPI_ISL_202892|A/Alaska/240/2015|2015-09-15	EPI_ISL_202892	EPI_ISL_202892|A/Alaska/240/2015|2015-09-15	2015-09-15	North America / United States / Alaska	United States	3c2.A
EPI_ISL_202916|A/Nebraska/19/2015|2015-10-23	EPI_ISL_202916	EPI_ISL_202916|A/Nebraska/19/2015|2015-10-23	2015-10-23	North America / United States / Nebraska	United States	3c2.A
